source_id,genre,condition,target_persona,model,mode,prompt_variant,repeat_idx,d_H,delta_H,text_len,hop_index,d_total,d_step,dS,dR,nli_entailment,creativity_auto,creativity_auto_geom,value_auto,value_auto_geom,novelty_auto_combined,distinct2_rel,novel_ngram_rel,embedding_distance_rel,coherence_auto,perplexity,sentiment_shift,kendall_tau,levenshtein,novelty_judge,coherence_judge,fidelity_judge,value_judge,value_judge_geom,creativity_judge,creativity_judge_geom,fidelity_fused,source_file
academic_02,academic,T3,continuous_S+0.702_R-0.521,gen_openai_mini,joint,0,2,0.21228936825010344,"[-0.2984569276792729, -0.5210159971598507]",238,,,,-0.2984569276792729,-0.5210159971598507,0.9061586856842041,0.3215679751345714,0.3209446606887852,0.8530695008626261,0.8514159452095024,0.3769540170049463,0.6308620510148388,0.0,0.5,0.799980316041048,40.00246047973633,0.003156891092658043,1.0,0.3943342776203966,0.4666666666666667,1.0,0.8,0.926539671421051,0.9236229440860064,0.43238517999649045,0.43102404057346966,0.8530793428421021,main_continuous_metrics
academic_02,academic,T3,continuous_S-0.912_R-0.071,gen_openai_mini,joint,0,2,0.676328861082638,"[-1.9116169767993727, -0.0713187260061003]",259,,,,-1.9116169767993727,-0.0713187260061003,0.5110808610916138,0.3072098515624689,0.297676002395906,0.6789000175786978,0.6578312584427102,0.45251118516410593,0.691181221558531,0.16635233393378684,0.5,0.8467191740657818,34.03801345825195,0.45258386619389057,0.9722222222222223,0.6176470588235294,,,,,,,,,main_continuous_metrics
academic_02,academic,T3,continuous_S+0.923_R+0.325,gen_openai_mini,joint,0,2,0.11814655623214793,"[-0.07693003506413587, 0.3251932344025004]",232,,,,-0.07693003506413587,0.3251932344025004,0.7727159261703491,0.29885117967890573,0.29879221493028063,0.7883760700034075,0.7882205196828775,0.37907185548847777,0.6372155664654333,0.0,0.5,0.8040362138364657,39.494815826416016,0.48170457407832146,1.0,0.4265486725663717,,,,,,,,,main_continuous_metrics
academic_06,academic,T0,,gen_openai_4o,identity,0,0,0.0,,255,,,,0.0,0.0,0.7653482556343079,0.22545446429870042,0.22477684942973675,0.8296215398777799,0.8271280701086964,0.27175579883318174,0.31526739649954516,0.0,0.5,0.8938948241212519,27.562274932861328,0.0,1.0,0.0,0.2,1.0,1.0,0.941337063908577,0.9395073857171927,0.1882674127817154,0.18790147714343855,0.8826741278171539,main_continuous_metrics
academic_06,academic,T1,rational_conservative,gen_openai_4o,joint,0,0,0.17677669529663687,"[0.0, -0.5]",242,,,,0.0,-0.5,0.8999297618865967,0.29448860106043745,0.2944884336647255,0.8989712474516339,0.8989707364507616,0.3275840043774942,0.4827520131324826,0.0,0.5,0.8980127330166712,26.960113525390625,0.044129619374871254,0.9885042104591972,0.44767123287671234,,,,,,,,,main_continuous_metrics
academic_06,academic,T1,rational_conservative,gen_openai_4o,joint,0,1,0.17677669529663687,"[0.0, -0.5]",242,,,,0.0,-0.5,0.8999297618865967,0.29448860106043745,0.2944884336647255,0.8989712474516339,0.8989707364507616,0.3275840043774942,0.4827520131324826,0.0,0.5,0.8980127330166712,26.960113525390625,0.044129619374871254,0.9885042104591972,0.44767123287671234,,,,,,,,,main_continuous_metrics
academic_06,academic,T1,rational_conservative,gen_openai_4o,joint,0,2,0.17677669529663687,"[0.0, -0.5]",242,,,,0.0,-0.5,0.8999297618865967,0.29448860106043745,0.2944884336647255,0.8989712474516339,0.8989707364507616,0.3275840043774942,0.4827520131324826,0.0,0.5,0.8980127330166712,26.960113525390625,0.044129619374871254,0.9885042104591972,0.44767123287671234,,,,,,,,,main_continuous_metrics
academic_06,academic,T2,emotional_adventurous,gen_openai_4o,joint,0,0,0.8838834764831843,"[-2.0, 1.5]",271,,,,-2.0,1.5,0.1792919784784317,0.19067416939576684,0.16017274627430625,0.3919242253226635,0.3292295946550729,0.48650774072153496,0.6425585082241978,0.31696471394040704,0.5,0.6045564721668953,64.701416015625,0.0032835938036441803,0.9176466369589723,0.6878158338012352,,,,,,,,,main_continuous_metrics
academic_06,academic,T2,rational_conservative,gen_openai_4o,joint,0,1,0.17677669529663687,"[0.0, -0.5]",242,,,,0.0,-0.5,0.8999297618865967,0.29448860106043745,0.2944884336647255,0.8989712474516339,0.8989707364507616,0.3275840043774942,0.4827520131324826,0.0,0.5,0.8980127330166712,26.960113525390625,0.044129619374871254,0.9885042104591972,0.44767123287671234,,,,,,,,,main_continuous_metrics
academic_06,academic,T2,rational_conservative,gen_openai_4o,joint,0,2,0.17677669529663687,"[0.0, -0.5]",242,,,,0.0,-0.5,0.8999297618865967,0.29448860106043745,0.2944884336647255,0.8989712474516339,0.8989707364507616,0.3275840043774942,0.4827520131324826,0.0,0.5,0.8980127330166712,26.960113525390625,0.044129619374871254,0.9885042104591972,0.44767123287671234,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S+0.757_R-0.144,gen_openai_4o,joint,0,0,0.15232173921801712,"[-0.24328975859977175, 0.35556348415954886]",197,,,,-0.24328975859977175,0.35556348415954886,0.7136587500572205,0.27003308940885123,0.2694478518752053,0.7639264112208493,0.7622707681669977,0.353480499485945,0.5604414984578349,0.0,0.5,0.814194072384478,38.2169303894043,0.009189009666442871,0.9861724348043976,0.5014164305949008,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S+0.200_R-0.696,gen_openai_4o,joint,0,0,0.2910388607001239,"[-0.7995252336267255, -0.19592944723838557]",226,,,,-0.7995252336267255,-0.19592944723838557,0.8970150947570801,0.32271967325637985,0.3226379898929402,0.8772781949894946,0.8770561476847363,0.3678646922943804,0.6035940768831412,0.0,0.5,0.8575412952219091,32.60670852661133,0.01944928802549839,0.9649273883128182,0.49008498583569404,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S-0.174_R+0.294,gen_openai_4o,joint,0,0,0.5010251311510927,"[-1.174118664970338, 0.793507918629694]",185,,,,-1.174118664970338,0.793507918629694,0.7497408390045166,0.31490915064833586,0.3141199547323757,0.7001998664592417,0.6984450909189699,0.4497418033521812,0.696768825077283,0.1524565849792608,0.5,0.6506588939139667,58.61896514892578,0.07328130211681128,0.8608556528142821,0.6504249291784703,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S+0.106_R+0.656,gen_openai_4o,joint,0,0,0.5166754180346231,"[-0.893533372566064, 1.1563848896110396]",212,,,,-0.893533372566064,1.1563848896110396,0.6906855702400208,0.28875264796364086,0.28783895986105607,0.7503284465969092,0.7479542132192369,0.3848350002898988,0.6545050008696964,0.0,0.5,0.8099713229537977,38.7493782043457,0.04599496349692345,0.8608556528142821,0.5314447592067989,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S-0.180_R-0.227,gen_openai_4o,joint,0,1,0.4280835701308834,"[-1.1797314712942861, 0.27253990490539676]",214,,,,-1.1797314712942861,0.27253990490539676,0.9122486710548401,0.30642694168870094,0.30551385510370993,0.8469168852065395,0.8443932544767389,0.36181465624454034,0.5854439687336209,0.0,0.5,0.7815850993582389,42.2905158996582,0.08243871759623289,0.9887626099538394,0.5229461756373938,0.6,1.0,1.0,0.97806216776371,0.9778161051687685,0.586837300658226,0.586689663101261,0.95612433552742,main_continuous_metrics
academic_06,academic,T3,continuous_S+0.432_R-0.478,gen_openai_4o,joint,0,1,0.20108000964715042,"[-0.5683062409425962, 0.02221213054348209]",198,,,,-0.5683062409425962,0.02221213054348209,0.11779341101646423,0.16623980433207225,0.11243216424815007,0.4472089533250792,0.302458672250663,0.3717273616640484,0.6151820849921452,0.0,0.5,0.7766244956336942,42.90443801879883,0.006144881248474121,0.8608556528142821,0.5167138810198301,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S+0.988_R-0.103,gen_openai_4o,joint,0,1,0.14046696908179052,"[-0.012312644623002855, 0.3971097505811022]",201,,,,-0.012312644623002855,0.3971097505811022,0.5617493987083435,0.2493625231587929,0.2457296447713913,0.676866643466087,0.667005601922827,0.36840716789035666,0.6052215036710699,0.0,0.5,0.7919838882238306,40.999664306640625,0.024345075711607933,0.9930066485916347,0.47195467422096316,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S-0.661_R-0.505,gen_openai_4o,joint,0,1,0.5873466838605979,"[-1.661260945059242, -0.004592249688792904]",215,,,,-1.661260945059242,-0.004592249688792904,0.45582690834999084,0.2066346921516256,0.20106748699462332,0.5924150411979809,0.5764540424029527,0.348800549921503,0.546401649764509,0.0,0.5,0.729003174045971,48.7761344909668,0.06557145901024342,0.8608556528142821,0.5439093484419264,,,,,,,,,main_continuous_metrics
academic_06,academic,T3,continuous_S-0.224_R+0.459,gen_openai_4o,joint,0,2,0.5496303093060362,"[-1.2237337454152708, 0.9587614591725651]",200,,,,-1.2237337454152708,0.9587614591725651,0.6400355696678162,0.27532768645082556,0.2733641592602971,0.726665364998649,0.7214830775905682,0.37889199033359383,0.6366759710007814,0.0,0.5,0.8132951603294818,38.33042907714844,0.15424461383372545,0.9930066485916347,0.5841359773371105,,,,,,,,,main_continuous_metrics
