row_type,source_id,genre,S,R,note,n_sources,mean_S,std_S,mean_R,std_R,genre_a,genre_b,euclidean_d,axis,anova_F,anova_p,kruskal_H,kruskal_p
source,narrative_21,narrative,0.40638896031305194,0.05863306843150634,,,,,,,,,,,,,,
source,narrative_23,narrative,0.10969943553209305,0.05475856233696532,,,,,,,,,,,,,,
source,narrative_25,narrative,0.572062661871314,0.07595519619252594,,,,,,,,,,,,,,
source,essay_02,essay,0.37296114722266793,-0.059745888266255424,,,,,,,,,,,,,,
source,essay_03,essay,0.1511847828514874,0.06197949124712302,,,,,,,,,,,,,,
source,essay_04,essay,0.8403203547932208,-0.16329474231951083,,,,,,,,,,,,,,
source,essay_07,essay,0.014388227486051619,-0.16740817711327982,,,,,,,,,,,,,,
source,essay_10,essay,0.7929974144790322,-0.1332581476176769,,,,,,,,,,,,,,
source,essay_12,essay,0.03362880344502628,-0.15089233601550228,,,,,,,,,,,,,,
source,essay_13,essay,0.41094557009637356,-0.10563069297515566,,,,,,,,,,,,,,
source,essay_16,essay,0.5017720083706081,-0.07633389561508704,,,,,,,,,,,,,,
source,essay_17,essay,0.2664390951395035,0.14135895408943194,,,,,,,,,,,,,,
source,essay_18,essay,0.7234775424003601,0.2039652262445647,,,,,,,,,,,,,,
source,essay_20,essay,0.07241413951851428,0.10202841451553082,,,,,,,,,,,,,,
source,essay_21,essay,-0.22468045284040272,-0.07804059943114333,,,,,,,,,,,,,,
source,essay_23,essay,-0.2800294766202569,0.08536031034407152,,,,,,,,,,,,,,
source,essay_24,essay,-0.009486962109804153,-0.04695895654238055,,,,,,,,,,,,,,
source,essay_25,essay,0.21040104259736836,-0.04096025724551109,,,,,,,,,,,,,,
source,poetry_01,poetry,-0.5285518493619747,0.2991537467995036,,,,,,,,,,,,,,
source,poetry_05,poetry,0.08668012823909521,0.2565875708003848,,,,,,,,,,,,,,
source,poetry_06,poetry,-0.1283684205263853,0.235248676581651,,,,,,,,,,,,,,
source,poetry_08,poetry,-0.3245118854101747,0.2604955589097054,,,,,,,,,,,,,,
source,poetry_10,poetry,-0.17347079934552312,0.19410106053595325,,,,,,,,,,,,,,
source,poetry_14,poetry,0.009849499445408583,0.26146466700977816,,,,,,,,,,,,,,
source,poetry_15,poetry,-0.43224241654388607,0.25543471875994134,,,,,,,,,,,,,,
source,poetry_16,poetry,0.03454697784036398,0.15723557929947654,,,,,,,,,,,,,,
source,poetry_17,poetry,-0.7748539617750794,0.17522396325215178,,,,,,,,,,,,,,
source,poetry_18,poetry,-0.6900729464832693,0.18177765813623886,,,,,,,,,,,,,,
source,poetry_20,poetry,0.1789303757250309,0.19000023806773494,,,,,,,,,,,,,,
source,poetry_21,poetry,0.26356621040031314,0.1849760850579471,,,,,,,,,,,,,,
source,poetry_22,poetry,-0.031926809810101986,0.2120474416218888,,,,,,,,,,,,,,
source,poetry_24,poetry,-0.1408280690666288,0.27783298489654834,,,,,,,,,,,,,,
source,poetry_25,poetry,-0.23280743102077395,0.21636809609695204,,,,,,,,,,,,,,
summary_genre,,academic,,,,15.0,0.8850538702992101,0.11695651317718708,-0.17693848366482043,0.046172286286233016,,,,,,,,
summary_genre,,essay,,,,15.0,0.25844888245531666,0.3474295177251978,-0.028522086446718733,0.11852171729835945,,,,,,,,
summary_genre,,narrative,,,,15.0,0.13434509611688555,0.40681219369499616,0.07191744467955297,0.04518116892302853,,,,,,,,
summary_genre,,poetry,,,,15.0,-0.19227075984623904,0.3076983794945328,0.22386320305505705,0.042971060092633524,,,,,,,,
summary_centroid_dist,,,,,,,,,,,academic,essay,0.6439419521618756,,,,,
summary_centroid_dist,,,,,,,,,,,academic,narrative,0.7908811141419855,,,,,
summary_centroid_dist,,,,,,,,,,,academic,poetry,1.1494652455796683,,,,,
summary_centroid_dist,,,,,,,,,,,essay,narrative,0.15965540766413225,,,,,
summary_centroid_dist,,,,,,,,,,,essay,poetry,0.5165719023653315,,,,,
summary_centroid_dist,,,,,,,,,,,narrative,poetry,0.36022969180070596,,,,,
summary_tests,,,,,,,,,,,,,,S,30.946501109804746,6.264607897722963e-12,37.15868852459013,4.259044228489252e-08
summary_tests,,,,,,,,,,,,,,R,85.08259066469888,7.631915198061636e-21,47.82797814207652,2.3167485128030233e-10
